headline,author,source,date,wordcount,permalink,decade
"NWC WANTS PUBLIC'S VIEWS ON PAY RAISES, WAGE RELATED ISSUES.",,Straits Times,23 March 1996,319,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020011024ds3n00f8n&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
COMPANIES WHICH INVEST IN WORKER TRAINING MAY GET NEW AWARD.,,Straits Times,11 May 1996,277,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020011024ds5b009ej&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
"MAKE USE OF OLDER PEOPLE, WOMEN.",,Straits Times,11 May 1996,378,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020011024ds5b009eh&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC WANTS FIRMS DOING WELL TO GIVE SPECIAL BONUS.,Ahmad Osman,Straits Times,11 May 1996,607,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020011024ds5b009dr&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
OVER 75% OF COMPANIES MADE MONEY IN 1995.,Anna Teo,Business Times Singapore,11 May 1996,422,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020011019ds5b006yk&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
"S'PORE ECONOMY TO GROW 6.9% THIS YEAR, SAY NTU ECONOMISTS.",Anna Teo,Business Times Singapore,30 August 1996,554,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020011019ds8u00192&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
CHINA'S ECONOMY 'WILL BE WORLD'S BIGGEST 2012'.,Sunny Goh,Straits Times,13 December 1996,503,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020011023dscd001hf&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC INVITES PUBLIC TO HELP SET GUIDELINES.,,Straits Times,16 April 1997,276,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020011003dt4g00d80&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
EXPAND SKILLS AND REDEVELOPMENT PROGRAMME - NWC.,,Straits Times,31 May 1997,430,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020011003dt5v00f90&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
KEEP WAGE HIKES BELOW 6.7% THIS YEAR - NWC.,Audrey Tan,Business Times Singapore,31 May 1997,430,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020011003dt5v006ce&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
"NWC RECOMMENDS ""MODERATE' WAGE RISES FOR THE YEAR.",Jason Leow,Straits Times,31 May 1997,651,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020011003dt5v00f7x&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Appointments - CJ Yong Pung How.,,Straits Times,13 July 1997,142,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020011003dt7d009sy&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Trade deficits led to currency woes.,,Straits Times,1 October 1997,302,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020011003dta1006ht&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Japan should sell US$ - economist.,Audrey Tan,Business Times Singapore,6 February 1998,448,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010927du26009b1&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC not likely to urge basic pay cut.,Ahmad Osman,Straits Times,3 March 1998,660,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927du3300ixh&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Too early to say basic pay won't be cut.,Ahmad Osman,Straits Times,4 March 1998,478,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927du3400izl&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
What goes on behind closed doors during NWC talks.,Ahmad Osman,Straits Times,7 March 1998,1086,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927du3700j92&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
"Whither pay? To slow down, freeze or cut?",Chua Lee Hoong,Straits Times,14 March 1998,2666,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927du3e00jl1&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
"Economic growth ""may be at low end of forecast'.",,Straits Times,26 May 1998,517,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927du5q00fue&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
National Wages Council urges wage restraint.,Carol Eng,Business Times Singapore,26 May 1998,575,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010927du5q008a7&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC calls for wage restraint.,Ahmad Osman,Straits Times,26 May 1998,642,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927du5q00ftm&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
3 more sworn into minority rights council.,,Straits Times,2 July 1998,165,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927du7200a6f&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
How a CPF cut will hit workers.,Zuraidah Ibrahim,Straits Times,8 September 1998,844,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927du98005ru&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NEW NWC PACKAGE EXPECTED END OF NEXT MONTH - Wage council starts its review.,,Straits Times,24 September 1998,280,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927du9o006t4&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
"Don't cut all variables this year, firms told.",,Straits Times,13 November 1998,943,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927dubd0029f&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC - Cut wages 5-8%.,Ahmad Osman,Straits Times,13 November 1998,707,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927dubd0027u&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC calls for 5%-8% cut in annual wages.,Carol Eng,Business Times Singapore,13 November 1998,799,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010927dubd0056m&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Proposed cut to employers' CPF contribution should be reversed only when economy grows around 4 to 7 per cent.,Audrey Tan,Business Times Singapore,13 November 1998,625,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010927dubd00580&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Two implications need to be watched.,Irene Ng,Straits Times,13 November 1998,838,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927dubd0029g&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Who's who on the National Wages Council.,,Straits Times,13 November 1998,169,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010927dubd0029e&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
A M'sia-S'pore reconciliation panel?,Jennifer Lien,Business Times Singapore,10 April 1999,289,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010911dv4a0054k&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
BG Lee honoured in May Day award list.,,Straits Times,10 April 1999,691,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010911dv4a00j3w&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
NWC to discuss pay restraint.,Ahmad Osman,Straits Times,21 April 1999,437,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010911dv4l00k0s&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Aim for another No 1 - Lim Chong Yah .,,Business Times Singapore,1 May 1999,199,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010911dv510065i&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Why are we ranked behind Barbados?,Sonny Yap,Straits Times,15 May 1999,1128,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010911dv5f00gw7&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Don't nip the recovery.,,Business Times Singapore,29 May 1999,929,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010911dv5t008mj&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
SNEF - 60% of firms not out of the woods.,Carol Eng,Business Times Singapore,29 May 1999,601,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010911dv5t009q3&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Top two questions.,,Straits Times,29 May 1999,473,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010911dv5t00edt&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Wage restraint for full recovery.,Ahmad Osman,Straits Times,29 May 1999,634,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010911dv5t00eec&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
He ran away from home when he was 16.,,Straits Times,22 August 1999,2344,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010911dv8m00buo&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
$1.5m raised to set up professorship.,,Straits Times,23 November 1999,417,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010911dvbn001lz&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Hike in employer CPF rate not a problem for most - NWC chief.,Audrey Tan,Business Times Singapore,23 November 1999,445,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010911dvbn0075s&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Why SDF remains relevant 20 years on - NWC head.,Audrey Tan,Business Times Singapore,23 November 1999,785,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010911dvbn00780&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,90
Wages council to meet in April.,,Straits Times,26 March 2000,443,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dw3q0084a&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Wage council seeks views on new issues.,Narendra Aggarwal,Straits Times,7 April 2000,425,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dw47004a6&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Include dollar quantum in wage increases.,,Straits Times,30 May 2000,384,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dw5u007rs&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
"Restore CPF faster, pay bonus, urges NWC.",Anna Teo,Business Times Singapore,30 May 2000,877,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010817dw5u00474&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Start builing monthly variable component now'.,Irene Ng and Laurel Teo,Straits Times,30 May 2000,589,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dw5u007ru&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Govt accepts NWC call to give pay rises.,Irene Ng,Straits Times,31 May 2000,530,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dw5v007uw&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Mr NWC's hot seat.,,Straits Times,9 June 2000,1152,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dw6900c81&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
The poor in good hands.,,Straits Times,23 June 2000,877,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dw6n009eo&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Will Singapore run out of breathing space?,,Straits Times,1 July 2000,1870,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dw71009f1&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Achievers in many fields.,Lydia Lim,Straits Times,9 August 2000,467,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dw8900c6f&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
"NWC chief, NUS don to get Distinguished Service Order.",,Business Times Singapore,9 August 2000,214,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010817dw890063g&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
National Day Awards 2000.,,Straits Times,10 August 2000,778,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dw8a00c9o&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
New institutions needed to train workers - DPM Tan.,Audrey Tan,Business Times Singapore,25 August 2000,404,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010817dw8p006dn&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
"For East Asia, reforms must come first.",Lim Chong Yah,Business Times Singapore,6 October 2000,1369,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010817dwa6008eh&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
"E. Asia ""could face another crisis'.",Cornelia Tan,Straits Times,19 November 2000,179,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010817dwbj00ife&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Chair launched at NUS in honour of Lim Chong Yah .,,Business Times Singapore,3 February 2001,271,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010715dx23000tw&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
'Ideal' NWC chairman commended.,,Straits Times,3 February 2001,321,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010715dx23001pb&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Wages council may call for CPF restoration of 2 points.,Ahmad Osman,Straits Times,3 February 2001,464,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010715dx23001p8&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Ex-NWC chief fostered harmony.,,Straits Times,30 March 2001,470,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010715dx3u004oh&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
Man of many parts - a tough act to follow.,,Straits Times,30 March 2001,109,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010715dx3u004oj&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
National Wages Council - PROF LIM PIN TAKES OVER.,Teh Hooi Ling,Business Times Singapore,30 March 2001,280,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stbt000020010716dx3u000yl&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
NWC to discuss safety net for workers,Ahmad Osman,Straits Times,30 March 2001,590,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010715dx3u004nd&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
NWC chief will keep 'open mind'.,Ahmad Osman,Straits Times,7 April 2001,561,http://ezlibproxy1.ntu.edu.sg/login?url=http://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=stimes0020010715dx47005bs&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,100
